Area	Rank_total	Total	Standard_error_total	Rank_male	Male	Standard_error_male	Rank_female	Female	Standard_error_female
Hawaii	1	80.9	0.119	5	78.0	0.172	1	83.9	0.158
California	2	80.9	0.022	1	78.4	0.032	2	83.3	0.028
New York	3	80.7	0.030	3	78.2	0.045	3	83.1	0.040
Minnesota	4	80.4	0.056	2	78.3	0.082	6	82.6	0.075
Massachusetts	5	80.4	0.050	6	77.9	0.074	5	82.8	0.065
Connecticut	6	80.3	0.073	9	77.7	0.107	4	82.8	0.094
New Jersey	7	80.1	0.046	10	77.6	0.067	7	82.5	0.060
Washington	8	80.0	0.048	7	77.9	0.070	10	82.1	0.064
Colorado	9	80.0	0.058	8	77.8	0.084	9	82.2	0.077
Vermont	10	79.8	0.172	13	77.2	0.259	8	82.3	0.223
Utah	11	79.7	0.078	4	78.0	0.114	17	81.5	0.105
Oregon	12	79.6	0.066	12	77.3	0.097	11	81.9	0.086
Idaho	13	79.5	0.101	11	77.5	0.147	20	81.5	0.137
Rhode Island	14	79.5	0.135	17	77.0	0.199	12	81.8	0.179
New Hampshire	15	79.4	0.116	15	77.1	0.171	14	81.6	0.154
Wisconsin	16	79.3	0.057	16	77.0	0.082	18	81.5	0.078
Nebraska	17	79.2	0.098	14	77.1	0.141	22	81.3	0.134
Virginia	18	79.1	0.047	18	76.8	0.069	23	81.3	0.063
Florida	19	79.0	0.032	22	76.3	0.047	13	81.8	0.042
Iowa	20	79.0	0.077	19	76.5	0.113	16	81.6	0.101
Illinois	21	79.0	0.039	20	76.4	0.058	19	81.5	0.052
United States	…	78.8	…	…	76.3	…	…	81.4	…
Arizona	22	78.8	0.054	25	76.1	0.080	15	81.6	0.071
North Dakota	23	78.8	0.166	21	76.3	0.235	21	81.5	0.227
Texas	24	78.6	0.026	24	76.1	0.038	25	81.0	0.035
Maryland	25	78.5	0.059	30	75.8	0.088	24	81.2	0.075
Montana	26	78.4	0.139	23	76.2	0.204	31	80.8	0.185
South Dakota	27	78.4	0.157	26	76.1	0.226	29	80.8	0.214
Pennsylvania	28	78.3	0.040	31	75.7	0.059	27	80.9	0.053
Maine	29	78.3	0.123	28	75.8	0.180	28	80.9	0.164
Kansas	30	78.2	0.082	27	75.9	0.119	34	80.4	0.111
Delaware	31	78.1	0.153	35	75.1	0.225	26	81.0	0.202
District of Columbia	32	78.0	0.186	37	74.9	0.276	30	80.8	0.244
Nevada	33	78.0	0.080	33	75.6	0.115	32	80.6	0.107
Michigan	34	78.0	0.045	32	75.6	0.066	35	80.3	0.060
Alaska	35	77.7	0.173	29	75.8	0.247	38	79.9	0.237
Wyoming	36	77.7	0.199	34	75.4	0.279	33	80.5	0.262
North Carolina	37	77.6	0.045	36	75.0	0.066	36	80.1	0.059
Georgia	38	77.4	0.044	38	74.9	0.065	39	79.9	0.059
Indiana	39	77.0	0.056	39	74.5	0.081	42	79.5	0.075
Missouri	40	76.9	0.059	41	74.1	0.087	40	79.8	0.078
New Mexico	41	76.9	0.109	42	73.9	0.159	37	80.1	0.143
Ohio	42	76.9	0.043	40	74.3	0.062	43	79.5	0.057
South Carolina	43	76.8	0.066	43	73.9	0.098	41	79.7	0.086
Louisiana	44	75.7	0.070	47	72.8	0.102	44	78.6	0.093
Oklahoma	45	75.7	0.073	44	73.2	0.106	47	78.3	0.099
Arkansas	46	75.7	0.085	45	73.0	0.122	46	78.4	0.114
Tennessee	47	75.6	0.057	48	72.8	0.082	45	78.5	0.075
Kentucky	48	75.5	0.068	46	72.9	0.097	49	78.0	0.091
Alabama	49	75.2	0.068	49	72.2	0.099	48	78.2	0.090
West Virginia	50	74.5	0.114	50	71.9	0.164	51	77.3	0.153
Mississippi	51	74.4	0.089	51	71.2	0.129	50	77.6	0.118
