Area	Rank_total	Total	Standard_error_total	Rank_male	Male	Standard_error_male	Rank_female	Female	Standard_error_female
Hawaii	1	81.0	0.118	4	78.0	0.172	1	84.0	0.156
California	2	80.8	0.021	1	78.4	0.031	2	83.1	0.028
New York	3	80.5	0.030	3	78.1	0.044	4	82.8	0.039
Minnesota	4	80.5	0.056	2	78.4	0.082	5	82.6	0.074
Connecticut	5	80.4	0.072	5	77.9	0.107	3	82.9	0.094
Massachusetts	6	80.1	0.051	9	77.7	0.075	6	82.5	0.067
Washington	7	80.0	0.049	6	77.9	0.071	10	82.1	0.065
Colorado	8	80.0	0.058	8	77.7	0.085	7	82.3	0.076
New Jersey	9	79.8	0.046	11	77.3	0.067	8	82.3	0.059
Rhode Island	10	79.8	0.131	12	77.2	0.192	9	82.2	0.173
Oregon	11	79.7	0.065	10	77.5	0.096	11	81.9	0.086
Utah	12	79.6	0.079	7	77.7	0.117	18	81.5	0.105
Vermont	13	79.3	0.183	13	77.0	0.269	12	81.7	0.245
North Dakota	14	79.3	0.161	14	77.0	0.224	13	81.7	0.226
Wisconsin	15	79.3	0.057	15	76.9	0.084	14	81.6	0.076
Iowa	16	79.2	0.077	18	76.8	0.111	15	81.6	0.103
New Hampshire	17	79.1	0.117	19	76.7	0.174	17	81.5	0.154
Nebraska	18	79.1	0.099	16	76.8	0.142	21	81.4	0.133
Idaho	19	79.0	0.105	17	76.8	0.153	22	81.3	0.139
Virginia	20	79.0	0.047	20	76.6	0.069	23	81.3	0.063
South Dakota	21	78.9	0.154	22	76.5	0.220	20	81.4	0.209
Florida	22	78.9	0.032	24	76.2	0.047	16	81.6	0.042
Illinois	23	78.8	0.040	23	76.2	0.058	24	81.3	0.052
United States	…	78.7	…	…	76.2	…	…	81.2	…
Montana	24	78.7	0.138	21	76.5	0.197	27	81.1	0.188
Arizona	25	78.7	0.055	28	76.0	0.080	19	81.5	0.071
Maine	26	78.6	0.121	29	75.9	0.179	25	81.2	0.157
Maryland	27	78.5	0.058	30	75.8	0.087	26	81.1	0.075
Texas	28	78.4	0.026	26	76.0	0.038	28	80.8	0.035
Pennsylvania	29	78.1	0.040	32	75.5	0.059	29	80.8	0.053
Wyoming	30	78.1	0.185	25	76.1	0.267	35	80.3	0.252
Kansas	31	78.0	0.083	31	75.7	0.120	34	80.3	0.112
Alaska	32	78.0	0.168	27	76.0	0.240	36	80.2	0.232
Nevada	33	77.9	0.081	33	75.4	0.119	32	80.5	0.106
Delaware	34	77.8	0.150	36	74.8	0.226	30	80.6	0.195
Michigan	35	77.7	0.046	34	75.4	0.066	38	80.1	0.061
District of Columbia	36	77.7	0.184	38	74.6	0.272	31	80.5	0.245
North Carolina	37	77.6	0.045	35	74.9	0.066	37	80.2	0.058
Georgia	38	77.2	0.044	37	74.7	0.064	39	79.7	0.059
New Mexico	39	77.2	0.106	41	74.2	0.157	33	80.4	0.138
Indiana	40	76.8	0.056	39	74.4	0.081	42	79.3	0.075
Ohio	41	76.8	0.043	40	74.2	0.062	40	79.3	0.057
Missouri	42	76.6	0.059	42	73.9	0.087	43	79.3	0.079
South Carolina	43	76.5	0.066	43	73.7	0.098	41	79.3	0.087
Arkansas	44	75.6	0.086	45	73.0	0.124	45	78.2	0.116
Oklahoma	45	75.6	0.073	44	73.1	0.106	46	78.2	0.098
Louisiana	46	75.6	0.069	47	72.7	0.101	44	78.5	0.091
Tennessee	47	75.5	0.057	46	73.0	0.082	47	78.1	0.075
Kentucky	48	75.3	0.068	48	72.6	0.099	49	77.9	0.091
Alabama	49	75.1	0.067	49	72.1	0.099	48	78.0	0.089
Mississippi	50	74.6	0.088	50	71.7	0.126	50	77.5	0.119
West Virginia	51	74.4	0.114	51	71.7	0.164	51	77.3	0.152
