state	total	male	female	rural_total	rural_male	rural_female	urban_total	urban_male	urban_female
India	70.0	68.6	71.4	68.6	67.2	70.1	73.2	71.9	74.5
Andhra Pradesh	70.6	69.1	72.2	69.7	68.0	71.6	72.7	71.6	73.8
Assam	67.9	67.3	68.6	66.7	66.2	67.4	74.1	73.3	75.0
Bihar	69.5	69.7	69.2	69.1	69.3	68.9	71.9	72.3	71.3
Chhattisgarh	65.1	63.5	66.8	64.3	62.6	66.0	68.0	66.7	69.4
Delhi	75.8	74.1	77.7	74.0	N.A.	76.6	75.8	74.1	77.8
Gujarat	70.5	68.1	73.2	69.2	65.9	73.1	72.2	70.9	73.6
Haryana	69.9	67.3	73.0	68.7	66.1	71.9	72.0	69.5	75.1
Himachal Pradesh	73.5	70.3	77.5	73.2	69.9	77.2	77.1	74.7	81.0
Jammu & Kashmir	74.3	72.6	76.3	72.7	71.1	74.6	78.1	76.0	80.5
Jharkhand	69.6	70.5	68.9	68.8	70.0	67.9	72.2	71.9	72.4
Karnataka	69.8	67.9	71.9	68.2	66.0	70.6	73.3	71.9	74.8
Kerala	75.0	71.9	78.0	75.2	72.3	78.1	74.7	71.5	78.0
Madhya Pradesh	67.4	65.5	69.5	66.4	64.3	68.7	70.8	69.3	72.4
Maharashtra	72.9	71.6	74.3	71.6	70.2	73.0	74.6	73.4	76.1
Odisha	70.3	69.1	71.4	69.8	68.7	71.0	72.2	70.9	73.2
Punjab	72.5	70.8	74.5	70.9	69.2	72.9	75.5	73.3	78.1
Rajasthan	69.4	67.1	71.7	68.4	65.8	71.2	72.6	71.5	73.6
Tamil Nadu	73.2	71.0	75.5	70.5	68.3	72.9	75.8	73.7	78.2
Telangana	70.0	68.7	71.4	68.4	66.5	70.5	72.2	72.0	72.4
Uttar Pradesh	66.0	65.3	66.7	65.0	64.2	65.9	69.2	69.1	69.3
Uttarakhand	70.6	67.5	73.9	70.3	67.0	73.9	71.0	68.8	73.7
West Bengal	72.3	71.1	73.6	71.1	69.6	72.7	74.5	73.8	75.3
